filename,full_path,lightgbm_confidence,xgboost_confidence,ensemble_confidence,lightgbm_flagged,xgboost_flagged,ensemble_flagged,ground_truth
AIRPORT INFORMATION.docx,\Users\jcloudy\Dropbox\AIRPORT INFORMATION.docx,98.02238029780949,99.58241,98.79302558616376,True,True,True,1
appraiser.sdb,\Windows\appcompat\appraiser\AltData\appraiser.sdb,99.84399303673442,93.64441,96.78142911807677,True,True,True,0
Appraiser_Data.ini,\Windows\appcompat\appraiser\AltData\Appraiser_Data.ini,99.72101059415132,93.924095,96.8573599976985,True,True,True,0
Appraiser_TelemetryRunList.xml,\Windows\appcompat\appraiser\AltData\Appraiser_TelemetryRunList.xml,99.81931806676447,92.587265,96.2467173695377,True,True,True,0
BladeofGrass.jpg,\Users\jcloudy\Dropbox\BladeofGrass.jpg,98.04696930845535,93.60901,95.85463549593824,True,True,True,1
Box Sync.lnk,\Users\jcloudy\Dropbox\Box Sync.lnk,98.92263261548244,99.4216,99.16911949325272,True,True,True,0
CubaDearmed.jpg,\Users\jcloudy\Dropbox\CubaDearmed.jpg,99.35159110197915,93.60901,96.51478039065965,True,True,True,1
DarkWolf.png,\Users\jcloudy\Dropbox\DarkWolf.png,98.92263261548244,91.3479,95.18074919391343,True,True,True,1
DeathToll.jpg,\Users\jcloudy\Dropbox\DeathToll.jpg,99.23120443775157,94.1461,96.71918827599502,True,True,True,1
DemLogic.jpg,\Users\jcloudy\Dropbox\DemLogic.jpg,98.92263261548244,91.3479,95.18074919391343,True,True,True,1
Dropbox.lnk,\Users\jcloudy\Dropbox\Dropbox.lnk,98.48965712599407,99.438866,98.95856124029265,True,True,True,0
Google Drive.lnk,\Users\jcloudy\Dropbox\Google Drive.lnk,98.04696930845535,99.58241,98.80546774367231,True,True,True,0
HoldMyTidePod.jpg,\Users\jcloudy\Dropbox\HoldMyTidePod.jpg,98.04696930845535,93.60901,95.85463549593824,True,True,True,1
Huckleberry.png,\Users\jcloudy\Dropbox\Huckleberry.png,99.35159110197915,93.60901,96.51478039065965,True,True,True,1
MyTiredHead.jpg,\Users\jcloudy\Dropbox\MyTiredHead.jpg,99.35159110197915,93.60901,96.51478039065965,True,True,True,1
NVI2_29.DLL,\Windows\Temp\NVI2_29.DLL,99.55430211643943,95.24641,97.42622094992512,True,True,True,0
Planning.docx,\Users\jcloudy\Dropbox\Planning.docx,99.23120443775157,99.619545,99.42304271763778,True,True,True,1
RedGuns.jpg,\Users\jcloudy\Dropbox\RedGuns.jpg,98.48965712599407,91.58572,95.07914525137053,True,True,True,1
Set9A28.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A28.tmp,99.83392734266317,99.420204,99.62955056927588,True,True,True,0
Set9A38.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A38.tmp,99.83392734266317,99.420204,99.62955056927588,True,True,True,0
Set9A39.tmp,\Users\jcloudy\AppData\Local\Temp\Set9A39.tmp,99.83392734266317,99.420204,99.62955056927588,True,True,True,0
Sheep.jpg,\Users\jcloudy\Dropbox\Sheep.jpg,98.81049250077857,91.58572,95.24148949225429,True,True,True,1
snapshot.etl,\Windows\System32\WDI\{533a67eb-9fb5-473d-b884-958cf4b9c4a3}\{590eb9fb-76b4-4d7b-a955-36d351de97e5}\snapshot.etl,99.80430315929706,89.25067,94.59086059132711,True,True,True,0
UDD9BA7.tmp,\Windows\Temp\UDD9BA7.tmp,99.6375919945566,96.99569,98.33250224738859,True,True,True,0
