LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,is_timestomped,is_suspicious_execution,is_suspicious,label_source
10571590571,,# Check Point,,,,,,,,Compensation Log Record,0x761DA160,2,0,0,0,
10571590680,12/28/23 21:39:21,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:39:21,12/28/23 21:39:29,12/28/23 21:39:29,12/28/23 21:39:29,Initialize File Record Segment,0x3235,0,0,0,0,
10571590907,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x3235,0,0,0,0,
10571591541,,Updating Modified Time,ModifiedTime : 2023-12-28 21:39:21 -> 2023-12-28 21:39:29,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2,0,0,0,
10571591927,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:39:21,12/28/23 21:39:29,12/28/23 21:39:29,12/28/23 21:39:29,Deallocate File Record Segment,0x3235,0,0,0,0,
10571592468,,,,BCUEngine.dll,\Program Files\Avast Software\Avast\defs\23121900\BCUEngine.dll,4/19/23 17:31:13,4/19/23 17:31:13,12/26/23 23:45:29,12/28/23 21:39:30,Update Resident Value,0x727B,0,0,0,0,
10571592683,12/28/23 21:39:30,Directory Creation,,bcltmpVifeH,\Windows\Temp\bcltmpVifeH,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3235,0,0,0,0,
10571593005,12/28/23 21:39:30,Updating Modified Time,ModifiedTime : 2023-12-28 13:27:27 -> 2023-12-28 21:39:30,BCUEngine-trace.log <Guessed>,\ProgramData\Avast Software\Avast\log\BCUEngine-trace.log,,,,,Update Resident Value,0x15365,6,0,0,0,
10571593251,12/28/23 21:39:30,Directory Creation,,firefox,,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3239,2,0,0,0,
10571593822,12/28/23 21:39:30,Directory Creation,,chrome,,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3265,4,0,0,0,
