lsn,eventtime,event,filedirectoryname,fullpath,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,targetvcn,clusterindex,missingfullpathflaglsn
10572580552,12/28/23 21:48:29,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,Initialize File Record Segment,0x2F97,0,0
10572581799,12/28/23 21:48:29,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,12/28/23 21:48:29,Deallocate File Record Segment,0x2F97,0,0
10572581992,12/28/23 21:48:32,File Creation,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Initialize File Record Segment,0x2F97,0,0
10572583239,12/28/23 21:48:32,File Deletion,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Deallocate File Record Segment,0x2F97,0,0
10572583432,12/28/23 21:48:29,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Initialize File Record Segment,0x2F97,0,0
10572584665,12/28/23 21:48:29,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:32,12/28/23 21:48:32,12/28/23 21:48:32,Deallocate File Record Segment,0x2F97,0,0
10572594727,12/28/23 21:48:29,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Initialize File Record Segment,0x2F97,0,0
10572596023,12/28/23 21:48:29,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Deallocate File Record Segment,0x2F97,0,0
10572596208,12/28/23 21:48:29,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Initialize File Record Segment,0x2F97,0,0
10572597466,12/28/23 21:48:29,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Deallocate File Record Segment,0x2F97,0,0
10572597651,12/28/23 21:48:29,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:48:29,12/28/23 21:48:34,12/28/23 21:48:34,12/28/23 21:48:34,Initialize File Record Segment,0x2F97,0,0
